giphyswr-l3q30QB8PBlakFMw8	http://giphy.com/gifs/sign-with-robert-l3q30QB8PBlakFMw8	trapezoid	http://media.giphy.com/media/l3q30QB8PBlakFMw8/giphy.gif
giphyswr-26xBByfJgR0qWNm1i	http://giphy.com/gifs/signwithrobert-sign-with-robert-26xBByfJgR0qWNm1i	brother	http://media.giphy.com/media/26xBByfJgR0qWNm1i/giphy.gif
giphyswr-3o6YglLjLSllqSeIso	http://giphy.com/gifs/signwithrobert-3o6YglLjLSllqSeIso	mud slide	http://media.giphy.com/media/3o6YglLjLSllqSeIso/giphy.gif
giphyswr-l3q2soJHmu96McKOc	http://giphy.com/gifs/signwithrobert-sign-with-robert-l3q2soJHmu96McKOc	female • cousin • female cousin	http://media.giphy.com/media/l3q2soJHmu96McKOc/giphy.gif
giphyswr-26xBvcjMlV0ii9I52	http://giphy.com/gifs/signwithrobert-sign-with-robert-26xBvcjMlV0ii9I52	boyfriend	http://media.giphy.com/media/26xBvcjMlV0ii9I52/giphy.gif
giphyswr-3o6Yg3XvLhFCKsByvu	http://giphy.com/gifs/sign-with-robert-3o6Yg3XvLhFCKsByvu	postcard	http://media.giphy.com/media/3o6Yg3XvLhFCKsByvu/giphy.gif
giphyswr-l0He6jMHv5jJZjN9S	http://giphy.com/gifs/sign-with-robert-l0He6jMHv5jJZjN9S	conductor	http://media.giphy.com/media/l0He6jMHv5jJZjN9S/giphy.gif
giphyswr-3o6YfW2jAx6yRr6xBC	http://giphy.com/gifs/sign-with-robert-3o6YfW2jAx6yRr6xBC	clip on earrings	http://media.giphy.com/media/3o6YfW2jAx6yRr6xBC/giphy.gif
giphyswr-l0HdZq6o7Icutp52E	http://giphy.com/gifs/sign-with-robert-l0HdZq6o7Icutp52E	italian	http://media.giphy.com/media/l0HdZq6o7Icutp52E/giphy.gif
giphyswr-l3q2yajjwJTcaqWLC	http://giphy.com/gifs/signwithrobert-l3q2yajjwJTcaqWLC	broken	http://media.giphy.com/media/l3q2yajjwJTcaqWLC/giphy.gif
giphyswr-3o6YfXnLDXy4D4wl5m	http://giphy.com/gifs/sign-with-robert-3o6YfXnLDXy4D4wl5m	counter • counter top	http://media.giphy.com/media/3o6YfXnLDXy4D4wl5m/giphy.gif
giphyswr-26xBu4XZu7AX4bozu	http://giphy.com/gifs/signwithrobert-26xBu4XZu7AX4bozu	string	http://media.giphy.com/media/26xBu4XZu7AX4bozu/giphy.gif
giphyswr-l0HeittyM2gUpOV8I	http://giphy.com/gifs/sign-with-robert-l0HeittyM2gUpOV8I	green grapes	http://media.giphy.com/media/l0HeittyM2gUpOV8I/giphy.gif
giphyswr-3o6YgnbQsqLK2Socec	http://giphy.com/gifs/sign-with-robert-3o6YgnbQsqLK2Socec	corn	http://media.giphy.com/media/3o6YgnbQsqLK2Socec/giphy.gif
giphyswr-3o6Yg6TBCWPwCJNpPW	http://giphy.com/gifs/sign-with-robert-3o6Yg6TBCWPwCJNpPW	boxing day	http://media.giphy.com/media/3o6Yg6TBCWPwCJNpPW/giphy.gif
giphyswr-3o6YfT7aSexL3S7QFW	http://giphy.com/gifs/sign-with-robert-3o6YfT7aSexL3S7QFW	good friday	http://media.giphy.com/media/3o6YfT7aSexL3S7QFW/giphy.gif
giphyswr-l0HeqQiLBIdTslJII	http://giphy.com/gifs/sign-with-robert-l0HeqQiLBIdTslJII	three kings day	http://media.giphy.com/media/l0HeqQiLBIdTslJII/giphy.gif
giphyswr-l0HedY7IdvrRoXdqU	http://giphy.com/gifs/sign-with-robert-l0HedY7IdvrRoXdqU	st patricks day	http://media.giphy.com/media/l0HedY7IdvrRoXdqU/giphy.gif
giphyswr-l0He0twewCJxmNcR2	http://giphy.com/gifs/sign-with-robert-l0He0twewCJxmNcR2	new years eve	http://media.giphy.com/media/l0He0twewCJxmNcR2/giphy.gif
giphyswr-26xBPJZsXw8Yhaqm4	http://giphy.com/gifs/sign-with-robert-26xBPJZsXw8Yhaqm4	rainbow	http://media.giphy.com/media/26xBPJZsXw8Yhaqm4/giphy.gif
