hs-add-up-to	http://www.handspeak.com/word/list/index.php?abc=aa&id=5455	add up to
hs-addictive	http://www.handspeak.com/word/list/index.php?abc=aa&id=29	addictive
hs-address	http://www.handspeak.com/word/list/index.php?abc=aa&id=30	address
hs-adequate	http://www.handspeak.com/word/list/index.php?abc=aa&id=6115	adequate
hs-adhesive	http://www.handspeak.com/word/list/index.php?abc=aa&id=3873	adhesive
hs-adjective	http://www.handspeak.com/word/list/index.php?abc=aa&id=7397	adjective
hs-adjoin	http://www.handspeak.com/word/list/index.php?abc=aa&id=3890	adjoin
hs-adjourn	http://www.handspeak.com/word/list/index.php?abc=aa&id=1768	adjourn
hs-adjust	http://www.handspeak.com/word/list/index.php?abc=aa&id=3872	adjust
hs-administration	http://www.handspeak.com/word/list/index.php?abc=aa&id=6969	administration
hs-admire	http://www.handspeak.com/word/list/index.php?abc=aa&id=31	admire
hs-admit	http://www.handspeak.com/word/list/index.php?abc=aa&id=32	admit
hs-admonish	http://www.handspeak.com/word/list/index.php?abc=aa&id=6706	admonish
hs-adopted	http://www.handspeak.com/word/list/index.php?abc=aa&id=6011	adopted
hs-adore	http://www.handspeak.com/word/list/index.php?abc=aa&id=6116	adore
hs-adult	http://www.handspeak.com/word/list/index.php?abc=aa&id=3863	adult
hs-adult-education	http://www.handspeak.com/word/list/index.php?abc=aa&id=33	adult education
hs-adultery	http://www.handspeak.com/word/list/index.php?abc=aa&id=2823	adultery
hs-advanced	http://www.handspeak.com/word/list/index.php?abc=aa&id=3801	advanced
hs-advantage	http://www.handspeak.com/word/list/index.php?abc=aa&id=3785	advantage
hs-adventurous	http://www.handspeak.com/word/list/index.php?abc=aa&id=36	adventurous
hs-adverb	http://www.handspeak.com/word/list/index.php?abc=aa&id=7398	adverb
hs-advertise	http://www.handspeak.com/word/list/index.php?abc=aa&id=37	advertise
hs-advertisement	http://www.handspeak.com/word/list/index.php?abc=aa&id=38	advertisement
hs-advice	http://www.handspeak.com/word/list/index.php?abc=aa&id=39	advice
hs-advise	http://www.handspeak.com/word/list/index.php?abc=aa&id=2568	advise
hs-advocacy	http://www.handspeak.com/word/list/index.php?abc=aa&id=40	advocacy
hs-aesthetics	http://www.handspeak.com/word/list/index.php?abc=ae&id=41	aesthetics
hs-affect	http://www.handspeak.com/word/list/index.php?abc=ae&id=3558	affect
hs-affectionate	http://www.handspeak.com/word/list/index.php?abc=ae&id=3802	affectionate
hs-affiliate	http://www.handspeak.com/word/list/index.php?abc=ae&id=43	affiliate
hs-affluent	http://www.handspeak.com/word/list/index.php?abc=ae&id=1829	affluent
hs-afford	http://www.handspeak.com/word/list/index.php?abc=ae&id=3803	afford
hs-affront	http://www.handspeak.com/word/list/index.php?abc=ae&id=5613	affront
hs-Afghan	http://www.handspeak.com/word/list/index.php?abc=ae&id=46	Afghan
hs-Afghanistan	http://www.handspeak.com/word/list/index.php?abc=ae&id=45	Afghanistan
hs-aforementioned	http://www.handspeak.com/word/list/index.php?abc=ae&id=2771	aforementioned
hs-afraid	http://www.handspeak.com/word/list/index.php?abc=ae&id=47	afraid
hs-Africa	http://www.handspeak.com/word/list/index.php?abc=ae&id=48	Africa
