nab-3B2kbN-ai6Y	https://www.youtube.com/watch?v=3B2kbN-ai6Y	many	3B2kbN-ai6Y
nab-kuHL9xD-NgY	https://www.youtube.com/watch?v=kuHL9xD-NgY	none	kuHL9xD-NgY
nab-MHJPgvs2kP8	https://www.youtube.com/watch?v=MHJPgvs2kP8	many 2	MHJPgvs2kP8
nab-98Dc1XXwork	https://www.youtube.com/watch?v=98Dc1XXwork	14	98Dc1XXwork
nab-nhFKPVC9_nA	https://www.youtube.com/watch?v=nhFKPVC9_nA	few 2	nhFKPVC9_nA
nab-0yNSTvW5_PM	https://www.youtube.com/watch?v=0yNSTvW5_PM	5	0yNSTvW5_PM
nab-iERRGfH_giQ	https://www.youtube.com/watch?v=iERRGfH_giQ	all 2	iERRGfH_giQ
nab-tcquxVj-HnY	https://www.youtube.com/watch?v=tcquxVj-HnY	17	tcquxVj-HnY
nab-M_nTjxhyc0c	https://www.youtube.com/watch?v=M_nTjxhyc0c	8	M_nTjxhyc0c
nab-5dbk6s6iqcA	https://www.youtube.com/watch?v=5dbk6s6iqcA	19	5dbk6s6iqcA
nab-52ZnE37H4_I	https://www.youtube.com/watch?v=52ZnE37H4_I	not enough	52ZnE37H4_I
nab-wHexpOHIgZA	https://www.youtube.com/watch?v=wHexpOHIgZA	20	wHexpOHIgZA
nab-P-ibWNWqGsw	https://www.youtube.com/watch?v=P-ibWNWqGsw	some	P-ibWNWqGsw
nab-tWl6rxY7Nl8	https://www.youtube.com/watch?v=tWl6rxY7Nl8	15	tWl6rxY7Nl8
nab-pmOVqgWzGg4	https://www.youtube.com/watch?v=pmOVqgWzGg4	16	pmOVqgWzGg4
nab-lYZk-ZzQpqs	https://www.youtube.com/watch?v=lYZk-ZzQpqs	9	lYZk-ZzQpqs
nab-k3c4uVHBFR4	https://www.youtube.com/watch?v=k3c4uVHBFR4	all	k3c4uVHBFR4
nab-zMk164bbc24	https://www.youtube.com/watch?v=zMk164bbc24	few	zMk164bbc24
nab-fpnn4D8eITQ	https://www.youtube.com/watch?v=fpnn4D8eITQ	12	fpnn4D8eITQ
nab-c09JrlT7AlY	https://www.youtube.com/watch?v=c09JrlT7AlY	lots plenty	c09JrlT7AlY
nab-QCFEa1oWsj8	https://www.youtube.com/watch?v=QCFEa1oWsj8	10	QCFEa1oWsj8
nab-pLLQcc2nmrI	https://www.youtube.com/watch?v=pLLQcc2nmrI	7	pLLQcc2nmrI
nab-NtK5rTfB8LM	https://www.youtube.com/watch?v=NtK5rTfB8LM	18	NtK5rTfB8LM
nab-5aI0Hq_SYkE	https://www.youtube.com/watch?v=5aI0Hq_SYkE	4	5aI0Hq_SYkE
nab-PP7H5P7m-P8	https://www.youtube.com/watch?v=PP7H5P7m-P8	11	PP7H5P7m-P8
nab-Y5DxcHCWNXU	https://www.youtube.com/watch?v=Y5DxcHCWNXU	1	Y5DxcHCWNXU
nab-YLdgsldUMR0	https://www.youtube.com/watch?v=YLdgsldUMR0	3	YLdgsldUMR0
nab-Etp56MlLEdo	https://www.youtube.com/watch?v=Etp56MlLEdo	13	Etp56MlLEdo
nab-sU5q6j8h7xc	https://www.youtube.com/watch?v=sU5q6j8h7xc	6	sU5q6j8h7xc
nab-qOlupa29VNU	https://www.youtube.com/watch?v=qOlupa29VNU	2	qOlupa29VNU
nab-1Hc7Kaq5t1c	https://www.youtube.com/watch?v=1Hc7Kaq5t1c	worried	1Hc7Kaq5t1c
nab-iDYM464AxEk	https://www.youtube.com/watch?v=iDYM464AxEk	tired	iDYM464AxEk
nab-B79LCAc3-x0	https://www.youtube.com/watch?v=B79LCAc3-x0	thirsty	B79LCAc3-x0
nab-NzhxuBUKHpM	https://www.youtube.com/watch?v=NzhxuBUKHpM	sleepy 3	NzhxuBUKHpM
nab-WwkUUN1oq7A	https://www.youtube.com/watch?v=WwkUUN1oq7A	sleepy 2	WwkUUN1oq7A
nab-eKJAAYkRm5s	https://www.youtube.com/watch?v=eKJAAYkRm5s	sleepy 1	eKJAAYkRm5s
nab-J2WQZ8E4SUA	https://www.youtube.com/watch?v=J2WQZ8E4SUA	scared	J2WQZ8E4SUA
nab-jIWaE3ujmk4	https://www.youtube.com/watch?v=jIWaE3ujmk4	sad 2	jIWaE3ujmk4
nab-PF4sePzDILY	https://www.youtube.com/watch?v=PF4sePzDILY	sad 1	PF4sePzDILY
nab-3dWcqAxS81I	https://www.youtube.com/watch?v=3dWcqAxS81I	quiet 2	3dWcqAxS81I
nab-dOvLoArLzcw	https://www.youtube.com/watch?v=dOvLoArLzcw	nice 1	dOvLoArLzcw
nab-97qTXpRHLxk	https://www.youtube.com/watch?v=97qTXpRHLxk	quiet 1	97qTXpRHLxk
nab-e1q4pwMRTEc	https://www.youtube.com/watch?v=e1q4pwMRTEc	nice 3	e1q4pwMRTEc
nab-i7-IftrdNRs	https://www.youtube.com/watch?v=i7-IftrdNRs	nice 2	i7-IftrdNRs
nab-6EjZy8yST58	https://www.youtube.com/watch?v=6EjZy8yST58	love	6EjZy8yST58
nab-5SGp77KyOKs	https://www.youtube.com/watch?v=5SGp77KyOKs	laugh 3	5SGp77KyOKs
nab-fhPQzNDqL6U	https://www.youtube.com/watch?v=fhPQzNDqL6U	mad	fhPQzNDqL6U
nab--IPNgEBg5WA	https://www.youtube.com/watch?v=-IPNgEBg5WA	love 2	-IPNgEBg5WA
nab-Mq2PVqyiOQ4	https://www.youtube.com/watch?v=Mq2PVqyiOQ4	loud	Mq2PVqyiOQ4
nab-nVQypiJYbSk	https://www.youtube.com/watch?v=nVQypiJYbSk	laugh 4	nVQypiJYbSk
nab-xKY35YaWuLE	https://www.youtube.com/watch?v=xKY35YaWuLE	like	xKY35YaWuLE
nab-NWPBCsg7CNw	https://www.youtube.com/watch?v=NWPBCsg7CNw	hug 2	NWPBCsg7CNw
nab-jf6-pIRXAek	https://www.youtube.com/watch?v=jf6-pIRXAek	laugh 2	jf6-pIRXAek
nab-VJxGPzlGtWQ	https://www.youtube.com/watch?v=VJxGPzlGtWQ	laugh 1	VJxGPzlGtWQ
nab-KO1hwoHcMf8	https://www.youtube.com/watch?v=KO1hwoHcMf8	kiss 2	KO1hwoHcMf8
nab-SbvomlBCAe8	https://www.youtube.com/watch?v=SbvomlBCAe8	kiss 4	SbvomlBCAe8
nab-a90eIyt5eJs	https://www.youtube.com/watch?v=a90eIyt5eJs	hungry	a90eIyt5eJs
nab-tp7A4b_dO0k	https://www.youtube.com/watch?v=tp7A4b_dO0k	kiss 3	tp7A4b_dO0k
nab-HDi2UPqDK-8	https://www.youtube.com/watch?v=HDi2UPqDK-8	kiss 1	HDi2UPqDK-8
nab-Ekcn4CILyfo	https://www.youtube.com/watch?v=Ekcn4CILyfo	hurt 2	Ekcn4CILyfo
nab-W8lWdSqPySI	https://www.youtube.com/watch?v=W8lWdSqPySI	hurt 1	W8lWdSqPySI
nab-BHzdbYAUnNg	https://www.youtube.com/watch?v=BHzdbYAUnNg	hurt 3	BHzdbYAUnNg
nab-AoyNI1BJmOE	https://www.youtube.com/watch?v=AoyNI1BJmOE	hearing	AoyNI1BJmOE
nab-gAKiaFytbCI	https://www.youtube.com/watch?v=gAKiaFytbCI	hug 1	gAKiaFytbCI
