signbank-27	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=27	run a machine	AS15d31S15d59S20e00S26a07M529x526S15d31487x503S26a07508x474S20e00501x487S15d59470x502	27
signbank-28	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=28	and	M545x512S18540519x493S14c02456x489S26506495x492	28
signbank-29	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=29	cannot • can't	AS10012S1001aS20e00S22a04M527x523S10012497x478S1001a472x486S20e00499x493S22a04499x508	29
signbank-30	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=30	where	AS10020S27106S30300S30c00M549x565S10020515x523S27106534x525S30c00482x488S30300482x477	30
signbank-31	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=31	ink	AS14c00S22130S22130S1eb20S15a37S26a07S30004M601x571S30004482x483S22130485x520S22130485x528S14c00489x540S15a37545x514S26a07580x500S1eb20564x529	31
signbank-32	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=32	writing	AS1eb20S15a37S2480cM524x532S15a37477x468S1eb20497x482S2480c508x504	32
signbank-33	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=33	believe	AS10011S20500S22a03S20800S15d51S15d39S30007M538x563S30007482x482S10011517x484S20800518x536S20500509x471S15d39490x537S22a03511x515S15d51497x540	33
signbank-34	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=34	say	AS10000S20600S30c00M532x543S30c00482x483S10000487x513S20600510x521	34
signbank-35	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=35	sky	AS15a01S26606S32100M554x517S32100482x482S15a01494x449S26606524x465	35
signbank-36	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=36	decrease	AS18218S22a14S2f900S35c04M518x559S18218473x544S22a14477x524S2f900493x528S35c04482x482	36
signbank-37	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=37	divine-help	AS15d19S1f710S20500S25a14S22a00S24318M524x575S24318491x548S15d19476x425S1f710504x506S22a00506x486S25a14486x453S20500508x527	37
signbank-38	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=38	midday, noon	M532x537S15a10520x463S15a56498x525S37900525x490S37806468x530	38
signbank-39	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=39	North-Dakota	AS11920S22a00S10120S1f720S14020S17620S1fb20S1f720M572x550S11920470x473S22a00478x450S10120427x518S1f720447x533S14020471x519S17620509x533S1fb20533x531S1f720552x535	39
signbank-40	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=40	both-of-us	AS14037S27109M524x527S14037476x496S27109497x474	40
signbank-41	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=41	African	AS1f710S2e300S2f900S33200M527x558S33200482x482S2f900495x524S2e300488x531S1f710507x505	41
signbank-42	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=42		M511x516S14400489x485	42
signbank-43	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=43	chihuahua	M514x521S1a120493x492S21900487x480	43
signbank-44	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=44	horse	M539x518S30007482x483S12d20515x471S22114513x463	44
signbank-45	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=45	cl-2 • classifier-2-hand	AS10e08S2f900M507x519S10e08492x481S2f900494x514	45
signbank-46	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=46	one more	AS10d10S18518S20500S22124M521x524S20500498x513S22124493x476S10d10504x485S18518478x502	46
signbank-47	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=47	ask (v) he she asks me	AS10000S26603S10600M533x534S10000518x465S10600468x508S26603494x496	47
signbank-48	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=48	finish	AS14c30S14c38S2a204S2a21cS2fb04S2f710S30300S30a00M534x626S14c30510x527S14c38471x529S30a00482x488S30300482x477S2a204511x570S2a21c471x571S2f710497x619S2fb04495x605	48
signbank-49	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=49	grave	AS15d50S15d58S2b704S2b714M527x532S15d50508x468S15d58475x468S2b704511x508S2b714473x508	49
signbank-50	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=50	delicious	AS1c310S20e00S26500S1bd10S30005M538x531S30005482x482S1bd10518x442S1c310515x499S20e00508x519S26500523x478	50
signbank-51	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=51	West-Virginia	AS18620S10e20S1f720S26706M530x523S26706484x477S10e20493x493S1f720510x508S18620470x493	51
signbank-52	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=52	duck	M518x538S33b00482x483S13d20478x523S22114455x513	52
signbank-53	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=53	cattle	AS19a20S20500S2c300S30007M546x517S30007482x482S19a20518x480S20500512x474S2c300519x448	53
signbank-54	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=54	pick-up-to-the-left	AS16e41S16e4fS22b20M520x527S16e41494x473S16e4f479x486S22b20501x497	54
signbank-55	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=55	1994 • nineteen ninety-four	AS1f502S2a204S1ce20S1ce20S14410M555x517S1f502444x493S2a204460x483S1ce20485x487S1ce20508x487S14410533x486	55
signbank-56	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=56	that-eyegazeforward	AS19a20S32400S34400S26500S2f700M538x560S19a20510x540S32400482x482S34400482x482S26500517x526S2f700518x514	56
signbank-57	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=57	stuck	AS10e58S26500S20500S36a00M528x554S36a00482x477S10e58488x524S20500506x526S26500514x534	57
signbank-58	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=58	cow	M543x518S30007482x483S19a20515x478S20600502x469	58
signbank-59	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=59	drugs	M518x521S15a37492x498S10151482x492S21100505x479	59
signbank-60	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=60	lord (3)	AS1dc20S20500S36d00M548x531S36d00479x469S1dc20524x501S20500511x517	60
signbank-61	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=61		M511x508S37e1e490x495S20310496x493	61
signbank-62	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=62	ring	AS10050S15a18S26506S26506S20b00S20b00M531x524S15a18468x477S20b00472x509S20b00487x510S10050492x478S26506516x493S26506516x510	62
signbank-63	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=63	wallet • wallets	AS15a40S15a48S20500S2f900S26b07S26b11S15a41S15a49M535x539S15a40502x512S15a48488x512S26b07507x491S26b11466x490S15a41501x461S15a49476x461S20500495x494S2f900495x486	63
signbank-64	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=64	dime	AS10011S20500S26507S1f510S2a408S30007M605x518S30007482x483S20500512x475S10011523x488S26507542x486S1f510560x468S2a408580x431	64
signbank-65	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=65	boring	AS10001S33200S2c300M552x533S10001500x503S33200482x482S2c300526x493	65
signbank-66	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=66	don't know	AS15a11S28108S30007M540x518S30007482x483S15a11517x483S28108519x451	66
signbank-67	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=67	confused	AS15312S15316S2e732S2e71aM532x520S15312473x482S15316468x502S2e732507x479S2e71a506x505	67
signbank-68	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=68	GIVE-you	M529x530S14702472x516S14700515x471S28a09480x478	68
signbank-69	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=69	station • bus station • train station	M548x525S20320503x475S20328481x475S2890b523x476S28913452x477S14c50503x494S2e73e472x503	69
signbank-70	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=70	God	AS14710S2b705S32100M528x517S32100482x482S14710494x454S2b705514x460	70
signbank-71	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=71	skies	AS18210S18218S29300S29318S2fd00S36d00M543x536S36d00479x532S18210520x517S18218459x509S29300527x471S29318462x464S2fd00492x501	71
signbank-72	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=72	market, store	M559x521S18541506x502S18549465x502S2d307525x481S2d312441x480	72
signbank-73	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=73	is	AS19210S26600S20500S2ff00M519x546S26600461x516S19210498x522S2ff00482x482S20500495x503	73
signbank-74	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=74	rice	M542x564S11a31516x515S15d39480x541S2c633494x521S20e00481x529S30004482x483	74
signbank-75	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=75	girl	AS1f540S20e00S22a03S30006M525x554S1f540510x509S22a03486x540S20e00497x531S2ff00482x483	75
signbank-76	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=76	swing	AS20320S20320S2d400S2d410S2fb04M553x528S20320477x513S20320511x513S2d410446x471S2d400510x471S2fb04492x501	76
signbank-77	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=77	juice	M545x527S19410519x508S30005482x483S2df03526x484	77
signbank-78	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=78	boat	AS15c11S15c19S20500S26620M520x531S15c19480x499S15c11500x499S20500495x520S26620492x470	78
signbank-79	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=79	1st, first	AS10020S2df04S10000M527x516S10000512x486S10020473x486S2df04489x485	79
signbank-80	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=80	because	AS1dc02S1f502S28806S2ff00M583x517S2ff00482x482S1dc02510x483S1f502568x481S28806542x496	80
signbank-81	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=81	message	AS18548S18510S17d10S17d48S26506S26506S26512S26512S20f00M557x536S26506507x503S26512484x522S18548443x480S18510532x479S17d10504x480S26506508x522S17d48475x480S26512483x503S20f00490x463	81
signbank-82	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=82	earth	M537x520S2c400497x485S2031a464x505S1c111470x481	82
signbank-83	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=83	name-sign-S	AS20320S20600S30007M542x518S20320517x475S30007482x483S20600520x494	83
signbank-84	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=84	sit long time	AS11850S11559S20500S2ea54M520x534S11559480x482S11850497x482S20500496x467S2ea54490x509	84
signbank-85	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=85	someone-inform-you	AS18517S26501S14c01M535x535S26501495x493S18517516x508S14c01465x465	85
signbank-86	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=86	just • only	M518x533S10010483x503S10000502x503S2df04496x487S2e732493x468	86
signbank-87	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=87	breastplate	AS10610S20e00S26500S2ff00S15a02S15a06S22b04S22b14M534x606S2ff00482x482S10610490x519S20e00521x516S26500520x497S15a02501x558S15a06468x558S22b04506x575S22b14476x576	87
signbank-88	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=88			88
signbank-89	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=89			89
signbank-90	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=90	wake up • awake • awaken	M540x518S22100511x466S1ee10514x475S22100476x466S1ee18459x475S31400482x483	90
signbank-91	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=91	travel-road	AS11050S15a48S2db06S2f900M526x536S15a48474x497S2f900473x531S11050507x503S2db06507x463	91
signbank-92	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=92	boat	AS15c11S15c17S20500S26620M519x533S15c17481x503S15c11499x503S20500494x522S26620491x467	92
signbank-93	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=93	see things around	AS10e00S10e08S27104S27118S2fb04S30122S32106M546x559S30122482x476S10e00518x508S10e08465x499S27104506x543S2fb04488x553S27118452x535S32106482x489	93
signbank-94	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=94	wake up • awake • awaken	M541x554S1f418459x457S2f710475x493S1ee10513x512S22100476x503S2f700511x493S1f410512x457S31600482x446S31400482x519S22100511x503S1ee18460x512	94
signbank-95	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=95	Indonesia	M577x514S12d02424x490S13202469x490S12d02509x489S13202552x489S26506456x488S26506495x486S26506540x487	95
signbank-96	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=96	learning	AS14c52S15a30S22f00S18551M520x544S15a30480x517S14c52481x494S18551489x456S22f00495x477	96
signbank-97	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=97	chin	AS10001S20500S30004M520x543S20500486x518S30004482x482S10001499x513	97
signbank-98	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=98	mustache	AS1f117S1f11fS2880aS28812S33100M545x530S33100482x482S1f117504x500S1f11f473x500S2880a523x499S28812456x499	98
signbank-99	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=99	selfish	AS11e50S12258S12250S11e58S26504S26504S26514S26514S2fb04S21600S21600M534x559S2fb04492x553S12250511x510S12258466x509S11e50511x440S26504519x476S26514469x476S11e58469x441S21600472x496S21600521x496S26504519x541S26514468x540	99
signbank-100	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=100	car	AS20301S20307S23109S23115S2fb04M533x530S20301512x470S20307467x470S23109509x497S23115469x497S2fb04492x524	100
signbank-101	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=101	glasses	AS1d010S1d018S30007S30001M533x517S2ff00482x482S1d010510x473S1d018467x473	101
signbank-102	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=102	I (africa)	M513x520S20500488x509S20500501x509S18041488x480	102
signbank-103	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=103	long time ago	M598x515S36d00479x511S18011517x485S22a04554x491S22a04570x491S22a04585x491	103
signbank-104	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=104	building there	M543x527S36d00479x492S37801519x492S37809528x495S15851514x474	104
signbank-105	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=105	process	AS18040S18048S2eb08S2eb4cS2fb00M532x538S18040501x523S18048467x511S2eb4c477x470S2eb08506x483S2fb00494x462	105
signbank-106	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=106	postpone	AS1cd40S1cd48S2b901S2b911M537x533S1cd40504x503S1cd48463x503S2b901511x468S2b911473x470	106
signbank-107	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=107	work • job • task • occupation	M525x517S20349492x486S20351475x484S20500515x490S20500515x505S37703485x495S3770b479x495	107
signbank-108	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=108	meditate • meditation	AS1c551S15d59S20500S2ee11M517x546S15d59485x490S20500483x484S1c551492x454S2ee11486x527	108
signbank-109	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=109	that	AS19a50S22e04M514x524S19a50486x475S22e04491x506	109
signbank-110	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=110	see	AS10e00S26600S31400M527x527S31400482x482S10e00507x497S26600511x460	110
signbank-111	http://www.signbank.org/signpuddle2.0/searchword.php?ui=1&sgn=4&sid=111	geology	AS1c111S15a5aS2c500S20800M543x523S2c500503x477S20800457x491S15a5a468x511S1c111473x485	111
