aslkids-ahzWrD_sgrY	https://youtube.com/watch?v=ahzWrD_sgrY	Toothbrush	ahzWrD_sgrY
aslkids-uh0UuCHKsEw	https://youtube.com/watch?v=uh0UuCHKsEw	Tree	uh0UuCHKsEw
aslkids-Em3H7TVU78I	https://youtube.com/watch?v=Em3H7TVU78I	Umbrella	Em3H7TVU78I
aslkids-Ji0_VUFdAVY	https://youtube.com/watch?v=Ji0_VUFdAVY	Yellow	Ji0_VUFdAVY
aslkids-Uu2prMSD4l4	https://youtube.com/watch?v=Uu2prMSD4l4	White	Uu2prMSD4l4
aslkids-okqqixdZmE4	https://youtube.com/watch?v=okqqixdZmE4	Water	okqqixdZmE4
aslkids-sxeWeiCoM7k	https://youtube.com/watch?v=sxeWeiCoM7k	Walk	sxeWeiCoM7k
aslkids-Vzd9DoBqVXU	https://youtube.com/watch?v=Vzd9DoBqVXU	Train	Vzd9DoBqVXU
aslkids-1JKqWk5UeQY	https://youtube.com/watch?v=1JKqWk5UeQY	Toilet	1JKqWk5UeQY
aslkids-D_v4dvNJ-CM	https://youtube.com/watch?v=D_v4dvNJ-CM	Time	D_v4dvNJ-CM
aslkids-_4VnmtSyAyE	https://youtube.com/watch?v=_4VnmtSyAyE	Tiger	_4VnmtSyAyE
aslkids-_NqL43yWhUk	https://youtube.com/watch?v=_NqL43yWhUk	Teacher	_NqL43yWhUk
aslkids-y5D_qTkR7uc	https://youtube.com/watch?v=y5D_qTkR7uc	Sun	y5D_qTkR7uc
aslkids-Ljak9IyUcA0	https://youtube.com/watch?v=Ljak9IyUcA0	Subway	Ljak9IyUcA0
aslkids-hds0QJINQNY	https://youtube.com/watch?v=hds0QJINQNY	Spider	hds0QJINQNY
aslkids-bUKEbA5pB_Y	https://youtube.com/watch?v=bUKEbA5pB_Y	Shoes	bUKEbA5pB_Y
aslkids-86OOotf8Sxc	https://youtube.com/watch?v=86OOotf8Sxc	School	86OOotf8Sxc
aslkids-p-zYYFu5PQA	https://youtube.com/watch?v=p-zYYFu5PQA	Red	p-zYYFu5PQA
aslkids-EPnyfn8qMpc	https://youtube.com/watch?v=EPnyfn8qMpc	Rainbow	EPnyfn8qMpc
aslkids-aFYL9u6UiEw	https://youtube.com/watch?v=aFYL9u6UiEw	Pig	aFYL9u6UiEw
aslkids-eKcf3RvzTEY	https://youtube.com/watch?v=eKcf3RvzTEY	Phone	eKcf3RvzTEY
aslkids-fdNKKn0RS1g	https://youtube.com/watch?v=fdNKKn0RS1g	Pen	fdNKKn0RS1g
aslkids-Zg-ygjairZQ	https://youtube.com/watch?v=Zg-ygjairZQ	Paper	Zg-ygjairZQ
aslkids-P0_FWnmpbKU	https://youtube.com/watch?v=P0_FWnmpbKU	Pancake	P0_FWnmpbKU
aslkids-ryFrKBxXCf8	https://youtube.com/watch?v=ryFrKBxXCf8	Mouse	ryFrKBxXCf8
aslkids-6GJv4qtyIdc	https://youtube.com/watch?v=6GJv4qtyIdc	Moon	6GJv4qtyIdc
aslkids-Qz2PvbHog9o	https://youtube.com/watch?v=Qz2PvbHog9o	Monkey	Qz2PvbHog9o
aslkids-AW2kJeqxKds	https://youtube.com/watch?v=AW2kJeqxKds	Milk	AW2kJeqxKds
aslkids-i6_-yzHF4-E	https://youtube.com/watch?v=i6_-yzHF4-E	Mail	i6_-yzHF4-E
aslkids-RCIfGpgAATc	https://youtube.com/watch?v=RCIfGpgAATc	Lion	RCIfGpgAATc
aslkids-AWITUcvqKH4	https://youtube.com/watch?v=AWITUcvqKH4	Key	AWITUcvqKH4
aslkids-0yPhsFHpaAg	https://youtube.com/watch?v=0yPhsFHpaAg	Kangaroo	0yPhsFHpaAg
aslkids-KLp6P8BGSJc	https://youtube.com/watch?v=KLp6P8BGSJc	Ice cream	KLp6P8BGSJc
aslkids-UsGiuh-uykA	https://youtube.com/watch?v=UsGiuh-uykA	House	UsGiuh-uykA
aslkids-Pc2-mmdm4WI	https://youtube.com/watch?v=Pc2-mmdm4WI	Hot dog	Pc2-mmdm4WI
aslkids-c1jO1MotnmA	https://youtube.com/watch?v=c1jO1MotnmA	Horse	c1jO1MotnmA
aslkids-30DKwni0ztg	https://youtube.com/watch?v=30DKwni0ztg	Hamburger	30DKwni0ztg
aslkids-GTrfWHlZthE	https://youtube.com/watch?v=GTrfWHlZthE	French Fries	GTrfWHlZthE
aslkids-XleDZhobVno	https://youtube.com/watch?v=XleDZhobVno	Food	XleDZhobVno
aslkids-xq4imZjZhvo	https://youtube.com/watch?v=xq4imZjZhvo	Flower	xq4imZjZhvo
aslkids-8XkXaa7k_yo	https://youtube.com/watch?v=8XkXaa7k_yo	Fish	8XkXaa7k_yo
aslkids-9rl8t5cS4So	https://youtube.com/watch?v=9rl8t5cS4So	Elephant	9rl8t5cS4So
aslkids-2ES1x-OhBz0	https://youtube.com/watch?v=2ES1x-OhBz0	Egg	2ES1x-OhBz0
aslkids-1lifyGwZN7g	https://youtube.com/watch?v=1lifyGwZN7g	Drink	1lifyGwZN7g
aslkids-ddivFwR46gU	https://youtube.com/watch?v=ddivFwR46gU	Donkey	ddivFwR46gU
aslkids-EXEL0iUfYSg	https://youtube.com/watch?v=EXEL0iUfYSg	Dolphin	EXEL0iUfYSg
aslkids-AySU6wdG4aU	https://youtube.com/watch?v=AySU6wdG4aU	Deer	AySU6wdG4aU
aslkids-3Whh7nNz1MY	https://youtube.com/watch?v=3Whh7nNz1MY	Crying	3Whh7nNz1MY
aslkids-GLDWtSF6pLY	https://youtube.com/watch?v=GLDWtSF6pLY	Cow	GLDWtSF6pLY
aslkids-oDTyFcYSE0Q	https://youtube.com/watch?v=oDTyFcYSE0Q	Church	oDTyFcYSE0Q
aslkids-UTn4VLbe7Fg	https://youtube.com/watch?v=UTn4VLbe7Fg	Chair	UTn4VLbe7Fg
aslkids-iwJujoYRSMg	https://youtube.com/watch?v=iwJujoYRSMg	Cat	iwJujoYRSMg
aslkids-oL2TuPEvLmk	https://youtube.com/watch?v=oL2TuPEvLmk	Car	oL2TuPEvLmk
aslkids-VStULbpsMMI	https://youtube.com/watch?v=VStULbpsMMI	Candy	VStULbpsMMI
aslkids-EOMoBZKmRTY	https://youtube.com/watch?v=EOMoBZKmRTY	Butterfly	EOMoBZKmRTY
aslkids-FPrEiySJtnw	https://youtube.com/watch?v=FPrEiySJtnw	Bus	FPrEiySJtnw
aslkids-PDqHy7wsmrg	https://youtube.com/watch?v=PDqHy7wsmrg	Bread	PDqHy7wsmrg
aslkids-Fc0mGYlkQHg	https://youtube.com/watch?v=Fc0mGYlkQHg	Boy	Fc0mGYlkQHg
aslkids-BOKcZa6mugU	https://youtube.com/watch?v=BOKcZa6mugU	Book	BOKcZa6mugU
aslkids--cxV6xs_rTI	https://youtube.com/watch?v=-cxV6xs_rTI	Boat	-cxV6xs_rTI
aslkids-ic7JaMz2jmo	https://youtube.com/watch?v=ic7JaMz2jmo	Bird	ic7JaMz2jmo
aslkids-ozlJnTAhj-k	https://youtube.com/watch?v=ozlJnTAhj-k	Bed	ozlJnTAhj-k
aslkids-2UxUdiTpR8Y	https://youtube.com/watch?v=2UxUdiTpR8Y	Battery	2UxUdiTpR8Y
aslkids-xIobvEZeRVg	https://youtube.com/watch?v=xIobvEZeRVg	Apple	xIobvEZeRVg
